Name,About,Experience
Brennan Stafford,"Highly motivated management professional and Air Force veteran with a diverse background and over 15 years combined experience in Defense Intelligence and Acquisition Program Management. Innovative problem solver with the ability to provide rapid, accurate product solutions to meet the needs of a diverse customer base. Progressive team oriented leader and nationally certified program manager well versed in programmatic planning, budgeting, and risk analysis for Air Force project and programs.

Specialties: Leadership , Cost Control, Contract Management, Budget Strategy, Negotiation, Risk Management, Opportunity Assessment, Procurement, Logistics, Scheduling, Program Planning, Communication, Risk Analysis, Cultural Awareness, Microsoft Office","Title
Senior Associate
Dates Employed
Jul 2017 – Present
Employment Duration
3 yrs 5 mos
Title
Lead Associate
Dates Employed
Aug 2016 – Present
Employment Duration
4 yrs 4 mos
Location
Lexington, Massachusetts
Title
Associate
Dates Employed
Aug 2012 – Present
Employment Duration
8 yrs 4 mos"
Glenn Monrad,"Military Systems - Business Development and Program Management

CECOM, C4ISR, Army Aviation, RDECOM, CERDEC, UAS, Simulation and Training Systems

Program Management Professional (PMP)
DAWAI LEVEL 3 certified (highest level).
DoD Secret Clearance.
Program Management Best Practices.
EVMS.
DOD Acquisition processes.
Capture Management, Opportunity Development and Proposal Development.
Develop intimate customer understanding and competitive environment
Business Case development.
Working across corporate business unit boundaries.
Listening.
Customer engagement for trust and relationship building.
Brand development.",Strategic Business Development
Neil Mickelson,"Launch and Strategic Services Integrated Delivery Team leader within Booz Allen Hamilton's National Agencies account, driving client engagements and business development for variety of National Security Space clients. Experienced Business Development professional, providing successful capture leadership, proposal development, and client/industry relationship expertise for competitive pursuits. Proven senior systems engineer and team leader, specializing in building high-performance consulting engineering teams for national security clients.","Title
Principal and Executive Capture Manager
Full-time
Dates Employed
Oct 2019 – Present
Employment Duration
1 yr 2 mos
Location
Chantilly, VA
Capture manager for strategic opportunities within the national security market. Primary Business Development Team leader within the firm's National Agencies Account, collaborating with client-focused leaders and staff to drive strong business growth and delivering fully-integrated solutions to challenging mission problems.
Title
Principal
Full-time
Dates Employed
Jul 2017 – Sep 2019
Employment Duration
2 yrs 3 mos
Location
Chantilly, VA
Leader of the Advanced Technology and Engineering Solutions delivery team within the National Agencies Account, spearheading the firm's business with clients who perform diverse missions including research and development, space launch, national security space policy, satellite communications, human resources transformation, and strategic communications.
Title
Senior Associate
Dates Employed
Oct 2014 – Jun 2017
Employment Duration
2 yrs 9 mos
Location
Chantilly, VA
Business area lead for Booz Allen's space launch clients in National Security Space Sector, responsible for high-quality support contract execution and financial performance. Lead contract team providing acquisition management, systems engineering, and portfolio management support to a space launch program office at multiple geographic locations.
Title
Senior Associate
Dates Employed
Mar 2013 – Oct 2014
Employment Duration
1 yr 8 mos
Location
Herndon, VA
Responsible for driving business development and opportunity capture activities for Booz Allen's NGA-NRO account, and supporting other business development activities across the firm within the Business Development Center of Excellence.
Title
Senior Associate
Dates Employed
Jun 2003 – Mar 2013
Employment Duration
9 yrs 10 mos
Location
Herndon, VA
Program Manager for multiple systems engineering and integration contracts involving satellite ground systems in the national security space sector. Proven business leader, achieving as much as 85% growth on contract while maintaining high levels of client satisfaction. Recognized as one of 13 initial ""Expert"" Systems Engineers within the firm's formal functional skills belting program."
Christopher Bogdan,"I am currently a Senior Vice President at Booz Allen Hamilton. I am part of a leadership team that is responsible for the $600M combined USAF and NASA accounts at BAH. Prior to my joining the firm in November 2017 I was a successful Senior Defense Acquisition Executive with over 20 years leading complex, high profile programs of over 2600 people in direct management of up to $15 Billion annually. I have a proven track record highlighted by the turnaround of two of the US Department of Defense's most troubled programs--the KC-46 Tanker and F-35 Joint Strike Fighter Programs. I am a high energy leader with exceptional technical, communications, political, and organizational skills.",Senior Vice President
Pete Balogh,EMPTY,"Lead consulting teams in Department of Defense Headquarters (Pentagon) client engagements. Organizational design at US Space Force Headquarters. Strategic plan for Chief Management Officer, US Air Force. Organizational design at Asst. Secretary of the Air Force for Space Acquisition."
"Christopher Blanchette, P.E., PMP, CEM, CFM","Program Director and Consultant with a reputation for solving complex problems and a proven ability to translate client needs into actionable programs. Professional Engineer with 22 years of experience across the facilities and infrastructure enterprise to include project planning, programming, and budgeting, strategy, construction management, energy and environmental management, and operations & maintenance.

• Senior facilities and infrastructure domain consultant with marketing, shaping, and proposal development experience resulting in contract awards totaling $162M; program and project manager for the execution of 12 federal consulting contracts worth $100M spanning a wide array of business consulting functions
• 22-year US Air Force Civil Engineer, specializing in strategic planning and civil works construction and operations, progressing in scope from a Staff Engineer to Project Manager to Senior Management
• Proven leader of military, civilian, and contractor teams, working with vendors and managing large and diverse projects, programs, and portfolios in challenging environments around the world
• Experience in planning and coordinating facilities and infrastructure solutions and partnerships with local, state, federal, and international government representatives, project owners, customers, and key partner stakeholders","Serves as a subject matter expert in the facilities and infrastructure domain, responsible for creating effective and efficient client strategic plans and operations. Designs and implements facility, land, and infrastructure solutions; asset optimization and workplace solutions. Advises on all aspects of the facility and infrastructure lifecycle.
• Program Manager for 5-year/$88.2M contract with 70 staff supporting Marine Corps Installations Command Headquarters in the areas of operations, logistics, training, community services, information technology, cybersecurity, budgeting, emergency services, physical security, infrastructure, public affairs, and data analytics
• Established objectives and methodology for the US Air Force facility space optimization program. Served as project manager for implementation—led 10 staff providing $2.2M in contract support to determine space utilization and implement corrective measures at nine worldwide installations totaling 15.8M square feet
• Established the US Air Force Installations of the Future program, a detailed governance to guide senior leaders in making decisions to provide resilient installations that effectively and efficiently support operational missions
• Task-lead for $120K pollution prevention assessment at the Tinker Air Force Base Air Logistics Center. Identified 13 improvements across four independent industrial processes, resulting in annual operating savings of $330K
• Conducted energy audits at 10 National Guard installations. Identified 760 measures saving over $1.3M annually
…
see more"
Alaina Dooley,Experienced Data Scientist with a demonstrated history of working in the management consulting industry and the DoD.,Data Scientist
Erin Garcia,"As a member of the International Affairs team under the National Security Group at Booz Allen, I have supported a variety of projects for the Air Force. Currently, I am one of two speech writers and strategic communications support for SAF/IA and in particular the Deputy and Assistant Deputy Undersecretary of the Air Force, International Affairs. I have, additionally, focused the last four plus years of my career in building my expertise in the field of Organizational Change Management and Strategic Communications, and Speechwriting.While supporting my numerous projects I have also played a lead role in the Program Management of the SAF/MG contract. I have developed key skills in quantitative and qualitative analysis, strategic communications, change management, program management, research, speechwriting, and client communication. In addition to my two BA degrees from Brown University and a Master of Science from American University, I am also certified in 4 Dimensional Change Management, LaMarsh Change Management, and most recently in Social Marketing Level 4 from the National Social Marketing Centre. Although I have focused much of my time at Booz Allen on Strategic Communications and Organizational Change Management, I have also worked on projects dealing with Organizational Design and Business Process Re-Organization.",National Security Group - International Affairs
Jim Schmitt,EMPTY,"Title
Certification Development and Maintenance Team Lead
Dates Employed
Jun 2017 – Present
Employment Duration
3 yrs 6 mos
Location
Springfield, Virginia
Deputy Program Manager for a team of 18 specialists in assessment instrument design, professional certification implementation, professional development, operations management, workforce communications and website design focused on establishing and executing the certification program to meet the rigid industry standards set forth by the National Commission for Certifying Agencies (NCCA).
Title
Strategic Communications Lead
Dates Employed
Feb 2017 – Present
Employment Duration
3 yrs 10 mos
Location
Washington D.C. Metro Area"
Jonathan Martin,"I spent the last five years overseeing the management and execution of the Operations Training and Standards and Evaluations (Stan/Eval) programs to ensure compliance with higher headquarters guidance for 167 crew members assigned to the 624 Operations Center. I consolidated and reported crew member combat mission ready (CMR) statuses to Major Command (MAJCOM) and Operations Center (OC) leadership. I advised training strategy and recommended and developed policy to include an annual training plan to OC and division leadership. I served as the OC’s Patriot Excalibur (PEX) Mayor to ensure training database integrity complied with operational procedures for maintaining readiness of crew members. I advise the OC Readiness Division leadership on contract related information. I served as Unit Training Manager responsible for overseeing skill level upgrade training, tracking ancillary training, and updating learning management systems. Previously, I spent the last ten years of my military career instructing, supervising, and managing curriculum. I served as instructor supervisor for twenty-three instructors and training manager developing course schedules for basic and advance technical training courses for Air Force Education and Training Command (AETC).","Title
Senior Data Analyst
Dates Employed
Jul 2020 – Present
Employment Duration
5 mos
Location
Falls Church, Virginia, United States
Title
Lead Associate/Learning Specialist
Dates Employed
Jul 2018 – Jul 2020
Employment Duration
2 yrs 1 mo
Location
San Antonio, Texas
• Manages the Standards and Evaluation Program for cyberspace operations.
• Directs the development of courseware for computer based and instructor led training.
• Prepares metrics of consolidated information from divisions to present to senior leaders.
• Prepares monthly management reports on training program status, provide program performance monthly reporting and analysis, client level reporting and analysis to ensure compliance with higher headquarters guidance.
• Develops and maintains management reporting to monitor performance of training analysts.
• Assists with managing Cyber Operations Training risk management products to prevent training deficiencies.
• Prepares budgets to support training requirements and submits to managers for approval.
• Advises and assists senior managers and subordinates in executing training responsibilities.
• Manages performance objectives, performance reviews, coaching, and personnel matters for risk analysts.
…
see more
Title
Senior Instructional Designer
Dates Employed
Oct 2016 – Jul 2020
Employment Duration
3 yrs 10 mos
Location
San Antonio, Texas Area
• Manages the professional development of six direct reports
• Leads a team of six in developing and managing cyberspace operations training
• Prepares metrics of consolidated information from divisions to present to senior leaders
• Prepares budgets to support training requirements and submits to managers for approval.
• Advises and assists senior managers and subordinates in executing training responsibilities.
• Supervised utilization and career management for over 2,500 students and 35 trainers.
Managed organizational requirements for $500,000 operational training/resources budget.
…
see more
Title
Associate
Dates Employed
Jul 2010 – Sep 2016
Employment Duration
6 yrs 3 mos
Location
San Antonio, Texas Area
• Manages training programs for five subordinated locations.
• Prepares metrics of consolidated information from divisions to present to senior leaders.
• Manages a $50,000 operational training budget to fulfill organizational training requirements.
• Advises and assists senior managers and subordinates in executing training responsibilities.
• Prepares budgets to support training requirements and submits to managers for approval.
• Designs comprehensive academic training plans to aid in reducing training deficiencies.
• Oversees utilization and career management for over 250 personnel and trainers.
…
see more"
Sean Williams,EMPTY,Senior Acquisition Strategist
Trevor Clark,EMPTY,Senior Data Scientist
"Bobby Packard, CPIM, CSCP, PMP","Nurtures and expands relationships with clients, ensuring satisfaction and addressing issues. Serves as a key resource who involves and educates staff on dealing with change or ambiguity productively. Responsible for quality control on assignments, through final review of deliverables. Establishes an internal reputation for excellence in specialized area that results in increased demand for functional skills and/or expansion of the market. Leads proposal efforts, white paper development, client calls or other business development activities on multiple defense contract vehicles. Incorporates an understanding of the firm's business strategy in development of own business plan and successfully communicates plan to staff, peers and seniors. Uses the diverse perspectives of others and proactively identifies and removes barriers to collaboration across the team.

Specialties: PMP
SAP ERP Implementation, Penn State University - Dec 2016, SAP ERP Implementation, Indiana University– Jul 2011Association of Operations Management (APICS) Certified Supply Chain Professional Mar 2010 and Certified Production and Inventory Management, Oct 2009. PROSI Change Management Process Certified - Dec 2008
Certified Supply Chain Operational Reference (SCOR) Model Professional - 2008
Certified Acquisition Professional Development Program, Life Cycle Logistics Level I – USAF July 2007, Booz Allen Mar 2009
Security Clearance – Secret","Title
Associate
Dates Employed
Jul 2007 – Present
Employment Duration
13 yrs 5 mos
Location
Utah
Supply Chain and Logistics analyst and Organizational Change Management consultant.
Title
ERP Implementation Organizational Change Management Field Agent
Dates Employed
Nov 2007 – Sep 2011
Employment Duration
3 yrs 11 mos
Supported U.S Air Force as a change manager (Field Agent) for an Oracle ERP implementation Primary duties consist of acting as liaison between leadership and the Systems Integrator representatives and to build professional, credible relationships with Air Force installation leadership in order to facilitate effective change management activities supporting the fielding of the ECSS solution, the largest Enterprise Resource Planning (ERP) solution within the Department of Defense. Assigned a geographical region of the US that includes Utah, Idaho, Montana, and Wyoming and responsible for change management activities at all of the Active, Guard and Reserve Air Force bases within this region. Supports the other work streams within the Organizational Change Management Team and help plan meetings, road shows, training for other team members, and coordinate demonstrations.
…
see more"
